,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
3961,False,/yeF9ewBnFp9d5nqdHMic4IAOqrs.jpg,"[28, 878]",49049,en,Dredd,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",28.886,/wLx65gtGVnUFCxceHWGszcruCZj.jpg,2012-09-07,Dredd,False,6.829,4901
3962,False,/8ZoW4hwuTWxKWDezkoUGBVvyxj5.jpg,"[35, 18, 10402]",30508,de,Berlin Calling,A man tours clubs around the globe with his manager and girlfriend. On the eve of their largest album release he is admitted to a psychiatric clinic after overdosing at a gig.,16.188,/oxEZwuBATJbAdS2JVrALQDnP0Cu.jpg,2008-10-01,Berlin Calling,False,6.8,327
3963,False,/zYuOttN0vFv5hwUP00pKViH0uxv.jpg,"[27, 53]",13510,en,Eden Lake,"When a young couple goes to a remote wooded lake for a romantic getaway, their quiet weekend is shattered by an aggressive group of local kids. Rowdiness quickly turns to rage as the teens terrorize the couple in unimaginable ways, and a weekend outing becomes a bloody battle for survival.",21.053,/tOg6ElTe1mJwaCFN0172U4oso22.jpg,2008-09-12,Eden Lake,False,6.827,1709
3964,False,/htBKlZaVLn7hnz36AdvVR53LwB8.jpg,"[80, 18, 53]",11386,en,The Crying Game,"Irish Republican Army member Fergus forms an unexpected bond with Jody, a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude and Maguire. Jody makes Fergus promise he'll visit his girlfriend, Dil, in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",23.136,/ynEfiiwS0dosbPjzGqBLo7FXMlD.jpg,1992-09-02,The Crying Game,False,6.829,718
3965,False,/lWybXICZZpxnSvWSOW53XxTERUg.jpg,"[10751, 16, 35, 878, 12, 14]",2300,en,Space Jam,"Due to the lack of visitors to one of the satellite amusement parks; Its owner decides to attract them in a certain way, which is to agree with the famous Looney Tunes cartoon characters to work with him. Indeed, he agrees with Bugs the rabbit to participate in a basketball match, but the matter turns into a dilemma when some alien villains resort to kidnapping the talent of the team’s players, and they are able to form a team that is difficult to defeat.. Bugs finds no other way but to kidnap the player Michael Jordan to play on his team against... These villains.",38.117,/4RN5El3Pj2W4gpwgiAGLVfSJv2g.jpg,1996-11-15,Space Jam,False,6.829,5862
3966,False,/j7eWbnyeTN0rFpNCkSzIl7HhQ2C.jpg,"[53, 28]",724209,en,Heart of Stone,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,55.134,/vB8o2p4ETnrfiWEgVxHmHWP9yRl.jpg,2023-08-09,Heart of Stone,False,6.827,1588
3967,False,/uAf1Ua3UDm8cDR2CgNGbZepOqDV.jpg,"[18, 36]",716612,en,Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",15.394,/7GcqdBKaMM9BWXWN07BirBMkcBF.jpg,2021-11-04,Spencer,False,6.828,1589
3968,False,/wNBbu88yqMakj9xPVrCOcGHMGvc.jpg,"[18, 36, 10749]",9503,en,Die Päpstin,A 9th century woman of English extraction born in the German city of Ingelheim disguises herself as a man and rises through the Vatican ranks.,16.261,/cYeodvtw9wlo5DWUVwoTiqjvfLJ.jpg,2009-10-22,Pope Joan,False,6.828,335
3969,False,/z1mGshfVVUNyjeLaqSzO56ROGk6.jpg,[37],4929,en,Hang 'em High,"Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.",34.658,/by8sSnLtthxnrhH2ZMdC41l9YfD.jpg,1968-04-12,Hang 'em High,False,6.828,729
3970,False,/6cKpUk38U7GziP548cZ1AGs0RPV.jpg,"[35, 18]",502422,en,Thunder Road,A police officer faces a personal meltdown following a divorce and the death of his mother.,13.913,/ynljTdiGVUCJJ6THSZi22SBoQAR.jpg,2018-09-12,Thunder Road,False,6.8,395
